MATERIAL DESCR.,,,COMPONENT,COMPONENT DESCR.,,,,
DCP- Dichloro phenol,,,750560,O. XYLENE,,,,
DCP- Dichloro phenol,,,750790,SULPHURIC ACID,,,,
DCP- Dichloro phenol,,,BPSULDIOXIDE01,SULPHER DIOXIDE,,,,
DCP- Dichloro phenol,,,EFDCP000000001,N S scrubber solution ( Hydraulic Load),,,,
DCP- Dichloro phenol,,,EFDCP000000004,DCP Aqueous( Hydraulic Load),,,,
,,,,,,,,
,,,,,,,,
K2DCSA,,,700080,CAUSTIC SODA FLAKES,,,,
K2DCSA,,,700083,CARBON DI-OXIDE,,,,
K2DCSA,,,700159,2;5 DCP,,,,
K2DCSA,,,700475,METHANOL,,,,
K2DCSA,,,700620,CAUSTIC POTASH LYE,,,,
K2DCSA,,,750560,O. XYLENE,,,,
K2DCSA,,,EFK2DCA0000001,Water of KDCP( Hydraulic Load),,,,
K2DCSA,,,EFK2DCA0000004,Filter Cleaning ( Hydraulic Load),,,,
K2DCSA,,,EFK2DCA0000007,DCP Acidification A/L ( Hydraulic Load),,,,
K2DCSA,,,IMDCP000000001,DCP- Dichloro phenol,,,,
,,,,,,,,
,,,,,,,,
Methyl Chloride,,,700475,METHANOL,,,,
Methyl Chloride,,,750085,CAUSTIC SODA LYE,,,,
Methyl Chloride,,,750309,HCl - GRADE-C,,,,
Methyl Chloride,,,EFMECL00000001,Mecl Scrubber Solution ( Hydraulic Load),,,,
Methyl Chloride,,,EFMECL00000004,Emergency Scrubber Solution( Hydraulic L,,,,
Methyl Chloride,,,EFSPHCLMCL0001,Spent HCl,,,,
,,,,,,,,
,,,,,,,,
Methyl Ester.,,,700080,CAUSTIC SODA FLAKES,,,,
Methyl Ester.,,,700475,METHANOL,,,,
Methyl Ester.,,,750560,O. XYLENE,,,,
Methyl Ester.,,,EFMEES00000001,KCl filter cleaning ( Hydraulic Load),,,,
Methyl Ester.,,,IMK2DCA0000002,K2DCSA,,,,
Methyl Ester.,,,IMMECL00000003,Methyl Chloride,,,,
,,,,,,,,
,,,,,,,,
Chlorpyriphos 20%EC Unpacked,,,730201,EPOXYLATED SOYA OIL,,,,
Chlorpyriphos 20%EC Unpacked,,,730225,CABS 50 PER - CALCIUM SALT,,,,
Chlorpyriphos 20%EC Unpacked,,,730460,SP 20,,,,
Chlorpyriphos 20%EC Unpacked,,,750770,SOLVENT C-9,,,,
Chlorpyriphos 20%EC Unpacked,,,FGCPF98LQ283KG,Chlorpyrifos Tech 98% 283.5 Kg MS LQ drm,,,,
,,,,,,,,
,,,,,,,,
Chlorpyrifos 20% EC 200 ltr -Chlorguard,,,FGCPF20EC00001,Chlorpyriphos 20%EC Unpacked,,,,
Chlorpyrifos 20% EC 200 ltr -Chlorguard,,,FGCPF20EC0200L,Chlorpyrifos 20% EC 200 ltr -Chlorguard,,,,
,,,,,,,,
,,,,,,,,
Chlorpyrifos 48 % EC,,,730201,EPOXYLATED SOYA OIL,,,,
Chlorpyrifos 48 % EC,,,730225,CABS 50 PER - CALCIUM SALT,,,,
Chlorpyrifos 48 % EC,,,730460,SP 20,,,,
Chlorpyrifos 48 % EC,,,750770,SOLVENT C-9,,,,
Chlorpyrifos 48 % EC,,,FGCPF98LQ283KG,Chlorpyrifos Tech 98% 283.5 Kg MS LQ drm,,,,
,,,,,,,,
,,,,,,,,
Chlorpyrifos 48% EC 1 LTR,,,FGCPF48EC00001,Chlorpyrifos 48 % EC,,,,
